Date,Open
08/17/2018,7786.64
08/16/2018,7826.95
08/15/2018,7810.02
08/14/2018,7847.88
08/13/2018,7848
08/10/2018,7834.71
08/09/2018,7886.51
08/08/2018,7880
08/07/2018,7878.62
08/06/2018,7809.54
08/03/2018,7819.23
08/02/2018,7659.52
08/01/2018,7701.82
07/31/2018,7654.59
07/30/2018,7735.27
07/27/2018,7889.75
07/26/2018,7848.04
07/25/2018,7839.09
07/24/2018,7914.35
07/23/2018,7806.93
07/20/2018,7843.08
07/19/2018,7829.8
07/18/2018,7859.43
07/17/2018,7751.97
07/16/2018,7831.74
07/13/2018,7827.62
07/12/2018,7752.71
07/11/2018,7698.51
07/10/2018,7770.63
07/09/2018,7731.74
07/06/2018,7595.93
07/05/2018,7550.66
07/03/2018,7593.63
07/02/2018,7451.9
06/29/2018,7544.13
06/28/2018,7438.11
06/27/2018,7586.33
06/26/2018,7553.74
06/25/2018,7631.12
06/22/2018,7739.69
06/21/2018,7800.3
06/20/2018,7764.15
06/19/2018,7658.47
06/18/2018,7692.96
06/15/2018,7725.03
06/14/2018,7723.53
06/13/2018,7713.9
06/12/2018,7673.87
06/11/2018,7647.24
06/08/2018,7607.74
06/07/2018,7697.41
06/06/2018,7652.8
06/05/2018,7621.36
06/04/2018,7570.08
06/01/2018,7487.66
05/31/2018,7455.58
05/30/2018,7428.41
05/29/2018,7398.51
05/25/2018,7422.2
05/24/2018,7421.99
05/23/2018,7335.03
05/22/2018,7420.85
05/21/2018,7406.33
