Date,BTC,Open
2019-08-15,8324.04,11900.34
2019-08-16,8536.22,11645.57
2019-08-17,8525.69,11199.25
2019-08-18,8422.22,11555.97
2019-08-19,8512.60,11727.14
2019-08-20,9000.84,11905.57
2019-08-21,8850.51,11790.68
2019-08-22,8360.83,11364.40
2019-08-23,8273.98,11542.67
2019-08-24,8476.66,11396.28
2019-08-25,8276.23,11326.44
2019-08-26,8259.15,11225.03
2019-08-27,8486.01,11409.84
2019-08-28,8307.06,11869.69
2019-08-29,7986.01,12137.54
2019-08-30,7809.48,12176.89
2019-08-31,7893.35,11945.57
2019-09-01,7920.54,12097.12
2019-09-02,8025.19,12200.33
2019-09-03,8575.17,11925.81
2019-09-04,8785.10,12147.28
2019-09-05,8646.14,12016.47
2019-09-06,8583.26,11543.88
2019-09-07,8429.14,10986.85
2019-09-08,8562.06,10897.43
2019-09-09,8501.69,10968.40
2019-09-10,8372.49,10806.02
2019-09-11,8194.13,10697.55
2019-09-12,8251.10,10974.05
2019-09-13,8447.36,10941.95
2019-09-14,8273.01,11137.68
2019-09-15,8281.19,11351.31
2019-09-16,8280.53,11661.02
2019-09-17,8274.02,11542.24
2019-09-18,8197.31,11160.22
2019-09-19,8179.37,11048.25
2019-09-20,8196.97,11006.83
2019-09-21,8164.99,10964.18
2019-09-22,8037.08,11337.90
2019-09-23,8073.87,11422.60
2019-09-24,7825.23,11503.61
2019-09-25,6890.82,11524.49
2019-09-26,6867.66,11420.89
2019-09-27,6580.90,11056.55
2019-09-28,6713.81,11151.21
2019-09-29,6709.39,11379.36
2019-09-30,6592.57,11561.64
2019-10-01,6753.66,11515.00
2019-10-02,6788.65,11726.09
2019-10-03,6819.83,11914.15
2019-10-04,6692.45,12025.37
2019-10-05,6657.04,11837.96
2019-10-06,6607.11,11701.53
2019-10-07,6477.47,11756.19
2019-10-08,6711.46,12036.48
2019-10-09,6735.34,12239.69
2019-10-10,7029.63,12317.96
2019-10-11,6904.35,12287.67
2019-10-12,6576.24,12433.87
2019-10-13,6593.03,12675.04
2019-10-14,6594.45,12538.80
2019-10-15,6639.93,12703.72
2019-10-16,6430.26,12557.49
2019-10-17,6277.54,12793.44
2019-10-18,6295.51,12944.82
2019-10-19,6142.71,12866.31
2019-10-20,6161.20,12996.63
2019-10-21,6376.27,13082.64
2019-10-22,6354.96,12968.63
2019-10-23,6268.52,12937.79
2019-10-24,5812.69,12832.27
2019-10-25,5835.24,12523.16
2019-10-26,6759.13,12380.37
2019-10-27,7204.89,12375.15
2019-10-28,7457.01,12506.37
2019-10-29,7194.36,12630.58
2019-10-30,7324.49,12021.05
2019-10-31,7132.77,12093.06
2019-11-01,7105.25,11972.56
2019-11-02,7155.03,11707.44
2019-11-03,7205.06,11899.14
2019-11-04,7139.20,11643.03
2019-11-05,7302.51,11559.38
2019-11-06,7252.23,11679.86
2019-11-07,7273.83,11958.61
2019-11-08,7227.20,12174.94
2019-11-09,6895.87,11908.81
2019-11-10,6898.23,11680.41
2019-11-11,7078.75,11633.24
2019-11-12,6815.57,11401.21
2019-11-13,6856.55,11338.57
2019-11-14,6855.85,11440.14
2019-11-15,6758.56,11466.21
2019-11-16,6580.52,11167.38
2019-11-17,6625.70,10952.69
2019-11-18,6636.03,10833.38
2019-11-19,6413.72,10955.29
2019-11-20,6345.62,10817.52
2019-11-21,6207.35,10894.44
2019-11-22,5916.56,10697.71
2019-11-23,5684.59,10659.01
2019-11-24,5764.42,11054.72
2019-11-25,5478.58,11022.67
2019-11-26,5539.98,11129.04
2019-11-27,5614.20,10877.28
2019-11-28,5828.98,10659.95
2019-11-29,5782.78,10484.37
2019-11-30,6005.85,10437.00
2019-12-01,5856.99,10131.82
2019-12-02,5749.63,10742.81
2019-12-03,5660.44,10575.65
2019-12-04,5631.73,10963.99
2019-12-05,5532.77,10689.31
2019-12-06,5661.95,10657.41
2019-12-07,5745.48,10576.04
2019-12-08,5748.58,10867.07
2019-12-09,5754.93,10996.97
2019-12-10,5627.25,10969.02
2019-12-11,5543.00,10971.95
2019-12-12,5467.52,10766.20
2019-12-13,5377.18,11028.43
2019-12-14,5452.13,11154.74
2019-12-15,5343.63,10885.01
2019-12-16,5357.42,10399.45
2019-12-17,5223.80,10548.14
2019-12-18,5066.07,10516.94
2019-12-19,5561.86,10611.53
2019-12-20,5537.44,10528.45
2019-12-21,5552.38,10869.17
2019-12-22,5529.77,11124.75
2019-12-23,5774.23,11233.90
2019-12-24,5682.33,11474.82
2019-12-25,5664.83,11260.10
2019-12-26,5608.30,11008.67
2019-12-27,5569.05,11257.01
2019-12-28,5572.65,11091.01
2019-12-29,5594.53,11058.56
2019-12-30,5667.97,11174.61
2019-12-31,5562.92,11231.00
2020-01-01,5425.67,11147.57
2020-01-02,5435.64,11060.02
2020-01-03,5312.57,10995.20
2020-01-04,5615.52,11475.17
2020-01-05,5665.27,11308.38
2020-01-06,5666.14,11380.99
2020-01-07,5898.11,11228.42
2020-01-08,6224.49,10963.95
2020-01-09,6167.50,11011.33
2020-01-10,6027.69,11038.17
2020-01-11,6247.37,11015.48
2020-01-12,6148.92,11542.84
2020-01-13,6278.54,11248.09
2020-01-14,6268.25,11012.62
2020-01-15,6777.25,10767.63
2020-01-16,6758.00,10707.44
2020-01-17,6671.93,10490.89
2020-01-18,6858.91,10592.00
2020-01-19,6869.85,10586.46
2020-01-20,6692.07,10437.75
2020-01-21,6658.66,Open
2020-01-22,6702.96,15696.83
2020-01-23,6604.70,15895.20
2020-01-24,6406.68,15794.92
2020-01-25,6455.58,15758.98
2020-01-26,6397.67,15722.91
2020-01-27,6582.29,15732.50
2020-01-28,6825.34,15852.14
2020-01-29,7184.89,15547.16
2020-01-30,7154.04,15024.15
2020-01-31,7266.41,15095.72
2020-02-01,7078.11,14751.78
2020-02-02,7111.02,14919.26
2020-02-03,7089.41,15263.10
2020-02-04,7150.54,15245.04
2020-02-05,7047.57,14708.02
2020-02-06,7401.17,14681.83
2020-02-07,7522.44,14582.22
2020-02-08,7599.19,14462.85
2020-02-09,7654.15,14046.22
2020-02-10,7846.69,13481.50
2020-02-11,7630.39,13610.87
2020-02-12,7874.73,13871.77
2020-02-13,7968.51,13710.99
2020-02-14,7827.19,13436.71
2020-02-15,7905.10,13812.19
2020-02-16,7579.60,14277.43
2020-02-17,7613.23,14494.47
2020-02-18,7451.27,14045.83
2020-02-19,7803.26,13958.48
2020-02-20,7448.72,14118.79
2020-02-21,7461.12,13984.43
2020-02-22,7474.51,14368.16
2020-02-23,7455.69,14228.68
2020-02-24,7659.69,14213.62
2020-02-25,7467.12,13768.97
2020-02-26,7181.82,13997.18
2020-02-27,6838.21,14038.92
2020-02-28,6818.78,14004.19
2020-02-29,6763.03,13735.40
2020-03-01,6707.30,13424.36
2020-03-02,6700.25,13511.75
2020-03-03,6943.58,12587.88
2020-03-04,6855.39,13485.26
2020-03-05,6805.64,13570.83
2020-03-06,7010.09,13716.70
2020-03-07,6990.61,13597.53
2020-03-08,6826.73,13837.59
2020-03-09,6193.85,13455.23
2020-03-10,6060.15,13328.36
2020-03-11,6127.50,12800.04
2020-03-12,6174.35,13113.70
2020-03-13,3992.34,13098.35
2020-03-14,4542.04,13229.77
2020-03-15,4238.85,12795.12
